Wall time,Step,Value
1772693213.3730206,256,285.3678283691406
1772693220.7065883,1024,236.05392456054688
1772693222.889893,1280,231.46446228027344
1772693236.6549208,2816,209.1566925048828
1772693238.811759,3072,208.03587341308594
1772693245.81609,3840,219.47604370117188
1772693247.8913863,4096,218.21743774414062
1772693254.5975823,4864,219.2664794921875
1772693256.9354317,5120,219.6807098388672
1772693259.0119464,5376,221.5875244140625
1772693263.4095242,5888,230.3164825439453
1772693265.8872604,6144,231.24378967285156
1772693272.6729198,6912,230.34864807128906
1772693274.7434366,7168,230.68421936035156
1772693288.3431542,8704,231.22779846191406
1772693294.8615446,9472,231.42103576660156
1772693297.2073426,9728,231.94894409179688
1772693299.2768002,9984,231.6820526123047
1772693301.590479,10240,230.62557983398438
1772693303.6722345,10496,230.79949951171875
1772693319.1726818,12288,231.409423828125
1772693321.4978302,12544,231.95635986328125
1772693323.8912208,12800,232.93679809570312
1772693328.2798204,13312,233.11703491210938
1772693330.3363733,13568,233.0910186767578
1772693334.9980736,14080,232.77940368652344
1772693341.6249154,14848,233.58602905273438
1772693348.5634298,15616,230.91500854492188
1772693350.6850045,15872,230.2763214111328
1772693353.029775,16128,229.65451049804688
1772693355.4090636,16384,230.99790954589844
1772693359.863237,16896,229.6064910888672
1772693361.978196,17152,228.57728576660156
1772693364.35525,17408,229.34458923339844
1772693366.466656,17664,230.5267791748047
1772693370.8995147,18176,232.7687225341797
1772693373.2593496,18432,232.760498046875
1772693386.6916215,19968,235.45172119140625
1772693391.9446254,20480,238.30032348632812
1772693394.306393,20736,239.58497619628906
1772693399.5597541,21248,242.18531799316406
1772693402.1217108,21504,243.98712158203125
1772693407.4219322,22016,245.80596923828125
1772693409.918702,22272,244.6652069091797
1772693418.1332016,23040,244.7651824951172
1772693420.6817095,23296,244.09170532226562
1772693433.051057,24576,245.65667724609375
1772693443.902718,25600,249.8419189453125
1772693447.040048,25856,250.32237243652344
1772693453.7584507,26624,249.99794006347656
1772693460.5972807,27392,254.8925323486328
1772693462.9455557,27648,255.60580444335938
1772693467.306732,28160,256.26031494140625
1772693479.0916898,29440,256.61328125
1772693483.4921913,29952,257.1504211425781
1772693495.759834,31232,258.2777099609375
1772693504.978774,32256,261.8160400390625
1772693507.1137178,32512,264.5156555175781
1772693511.467312,33024,269.1214294433594
1772693516.1237726,33536,273.16107177734375
1772693518.239334,33792,273.59881591796875
1772693520.5298264,34048,275.6248779296875
1772693524.9830215,34560,280.10687255859375
1772693529.3741486,35072,281.56689453125
1772693531.7478418,35328,282.3255920410156
1772693546.7060964,36864,295.8871765136719
1772693548.7899988,37120,298.40191650390625
1772693553.7005048,37632,299.730712890625
1772693555.9314015,37888,300.4537353515625
1772693562.9615827,38656,300.7745056152344
1772693579.1414208,40448,312.4067077636719
1772693583.5299435,40960,313.0269775390625
1772693585.6387541,41216,313.6162414550781
1772693590.3123045,41728,311.9468688964844
1772693594.6953309,42240,315.6869201660156
1772693599.1284137,42752,313.4500732421875
1772693607.8958256,43776,312.9556884765625
1772693610.2427213,44032,311.13201904296875
1772693612.2652762,44288,309.8982849121094
1772693619.547036,45056,306.6231994628906
1772693621.9166017,45312,306.10345458984375
1772693624.2816613,45568,304.9965515136719
1772693626.585341,45824,303.845458984375
1772693631.486726,46336,301.0005187988281
1772693633.5343997,46592,299.45745849609375
1772693640.377713,47360,298.0580749511719
1772693642.588416,47616,297.9241638183594
1772693644.877673,47872,297.9541015625
1772693652.1602774,48640,300.7603454589844
1772693654.2132475,48896,298.9377746582031
1772693656.662672,49152,300.458984375
1772693658.8298974,49408,300.2145080566406
1772693665.94173,50176,295.8353271484375
1772693675.08082,51200,295.4166564941406
1772693677.7022324,51456,296.0950622558594
1772693682.3854945,51968,297.72369384765625
