Wall time,Step,Value
1772753201.7838323,2048,280.2793273925781
1772753222.6656566,4096,289.9068603515625
1772753243.7972777,6144,290.79620361328125
1772753263.937849,8192,294.7768859863281
1772753283.7878187,10240,303.91656494140625
1772753303.987464,12288,318.7370300292969
1772753323.8626318,14336,342.1792907714844
1772753344.351051,16384,366.9131164550781
1772753364.436081,18432,385.30059814453125
1772753384.4240491,20480,406.3515930175781
1772753404.750489,22528,439.4302978515625
1772753424.7785783,24576,448.0845947265625
1772753445.0487983,26624,471.0669250488281
1772753464.9512315,28672,495.7101135253906
1772753485.4264328,30720,510.8525085449219
1772753505.3940666,32768,488.9077453613281
1772753525.5344245,34816,495.308349609375
1772753545.3308764,36864,514.0300903320312
1772753565.4000535,38912,516.6856079101562
1772753585.4252396,40960,518.4362182617188
1772753605.863802,43008,552.674072265625
1772753626.0330536,45056,552.5670776367188
1772753647.5733845,47104,564.8295288085938
1772753667.818808,49152,551.1600952148438
1772753687.6257727,51200,564.6615600585938
1772753707.7201996,53248,555.6802368164062
1772753727.5912354,55296,557.1842041015625
1772753747.568757,57344,561.79443359375
1772753767.2616696,59392,570.0166625976562
1772753787.2626917,61440,572.3435668945312
1772753806.9482782,63488,579.8452758789062
1772753826.9258754,65536,581.7438354492188
1772753846.5734484,67584,594.2429809570312
1772753866.5621061,69632,587.0933837890625
1772753886.4716878,71680,598.3524780273438
1772753906.2679808,73728,604.0841064453125
1772753926.2699394,75776,601.5276489257812
1772753946.0136993,77824,610.6168823242188
1772753966.316393,79872,621.4801025390625
1772753986.1186404,81920,614.6858520507812
1772754006.2505665,83968,638.5800170898438
1772754026.1799746,86016,644.7742309570312
1772754046.353924,88064,652.75927734375
1772754066.1421943,90112,667.3800659179688
1772754086.4433246,92160,680.4700927734375
1772754106.4450545,94208,661.02197265625
1772754126.647878,96256,660.842041015625
1772754146.6795418,98304,655.8147583007812
1772754166.671899,100352,649.9981079101562
1772754189.6910324,102400,646.8277587890625
1772754209.595334,104448,657.5604248046875
1772754229.5359657,106496,673.3988037109375
1772754249.226319,108544,675.9910888671875
1772754269.2449865,110592,682.2576293945312
1772754289.1767137,112640,693.6823120117188
1772754308.821968,114688,691.9876098632812
1772754328.8034654,116736,695.5313720703125
1772754348.3473754,118784,709.9617919921875
1772754367.9143736,120832,715.4094848632812
1772754387.793254,122880,722.8636474609375
1772754407.387034,124928,715.0714111328125
1772754427.2929442,126976,710.2704467773438
1772754446.9196553,129024,697.4633178710938
1772754466.795904,131072,696.2325439453125
1772754486.4300978,133120,700.0370483398438
1772754506.4289916,135168,705.4725952148438
1772754526.1580713,137216,696.05322265625
1772754546.2022479,139264,715.2538452148438
1772754565.8474152,141312,720.3136596679688
1772754585.8429248,143360,716.4295043945312
1772754605.5083344,145408,727.24169921875
1772754626.4872768,147456,743.1801147460938
1772754646.325439,149504,743.9955444335938
1772754666.3098838,151552,727.5706787109375
1772754686.1051698,153600,733.45458984375
1772754706.0296648,155648,748.5923461914062
1772754725.7563012,157696,752.2164916992188
1772754745.666164,159744,755.8142700195312
1772754765.2764237,161792,775.9147338867188
1772754785.3187096,163840,784.9107055664062
1772754805.1360686,165888,781.5728149414062
1772754825.1760669,167936,768.579833984375
1772754845.42498,169984,760.7691040039062
1772754865.2571561,172032,765.3524780273438
1772754885.2559114,174080,771.5745849609375
1772754905.0788581,176128,779.740478515625
1772754925.1335075,178176,791.4058837890625
1772754945.2708533,180224,788.5028686523438
1772754964.913877,182272,787.7647705078125
1772754984.9747605,184320,793.6632080078125
1772755005.0442176,186368,809.79833984375
1772755025.2240207,188416,807.5453491210938
1772755045.2151005,190464,817.2366333007812
1772755065.6522877,192512,799.0804443359375
1772755085.8766448,194560,790.8357543945312
1772755106.3094647,196608,786.0013427734375
1772755126.5672262,198656,775.0152587890625
1772755146.9540298,200704,778.8623046875
1772755166.936008,202752,789.5885009765625
1772755188.480223,204800,796.3406982421875
1772755208.3390071,206848,802.5128784179688
1772755228.1622486,208896,813.0653686523438
1772755248.2416985,210944,813.9681396484375
1772755268.2312672,212992,798.574462890625
1772755288.2769349,215040,795.290771484375
1772755307.9157176,217088,797.658935546875
1772755327.9559588,219136,787.7697143554688
1772755347.7923796,221184,785.6500854492188
1772755367.773598,223232,805.9512939453125
1772755387.5017226,225280,822.3843383789062
1772755407.4715178,227328,822.8781127929688
1772755427.1407537,229376,819.7094116210938
1772755446.95272,231424,828.9680786132812
1772755466.7453928,233472,831.3988647460938
1772755486.71343,235520,826.6696166992188
1772755506.458031,237568,833.5611572265625
1772755526.60118,239616,838.54541015625
1772755546.3664312,241664,848.2724609375
1772755566.4900997,243712,852.9931030273438
1772755586.3419797,245760,858.4353637695312
1772755606.6812582,247808,862.1786499023438
1772755627.5238388,249856,872.0713500976562
1772755647.86941,251904,868.91552734375
1772755668.1266425,253952,869.951416015625
1772755688.202257,256000,859.6483154296875
1772755708.614976,258048,867.8230590820312
1772755728.4807732,260096,875.8621826171875
1772755748.74576,262144,872.35400390625
1772755768.9992132,264192,858.14306640625
1772755789.0045922,266240,857.1160888671875
1772755809.2592108,268288,853.5734252929688
1772755829.4149027,270336,838.9340209960938
1772755849.5680354,272384,850.9436645507812
1772755869.4999597,274432,861.0738525390625
1772755889.749794,276480,883.4972534179688
1772755909.6659513,278528,867.2857666015625
1772755929.9100785,280576,885.198974609375
1772755949.7611127,282624,883.9612426757812
1772755969.9231353,284672,869.294921875
1772755990.1196575,286720,865.762451171875
1772756010.433377,288768,879.0156860351562
1772756030.5175335,290816,879.2887573242188
1772756050.9187992,292864,893.4816284179688
1772756070.9558368,294912,907.3345947265625
1772756091.138974,296960,906.6495361328125
1772756111.5567324,299008,898.1963500976562
1772756131.725128,301056,906.3794555664062
1772756152.22482,303104,903.0962524414062
1772756173.7861016,305152,894.3018188476562
1772756194.1096284,307200,902.2013549804688
1772756214.078639,309248,903.25048828125
1772756234.421793,311296,914.2102661132812
1772756254.4806123,313344,904.1730346679688
1772756274.7371368,315392,917.2857055664062
1772756294.9007952,317440,913.1845092773438
1772756315.796511,319488,919.6377563476562
1772756335.7592983,321536,909.8538208007812
1772756356.0846543,323584,913.4110107421875
1772756376.3741536,325632,918.9093017578125
1772756396.2933972,327680,919.5990600585938
1772756416.8570228,329728,915.4467163085938
1772756436.7153597,331776,910.9226684570312
1772756456.8337142,333824,916.9659423828125
1772756476.679025,335872,919.3883056640625
1772756496.8568344,337920,923.043701171875
1772756516.7274654,339968,917.4186401367188
1772756536.8787837,342016,926.7703247070312
1772756556.623025,344064,926.3299560546875
1772756576.7656329,346112,920.7886352539062
1772756596.6642728,348160,914.594970703125
1772756617.9509313,350208,926.747802734375
1772756638.1707416,352256,926.3048706054688
1772756658.5643523,354304,931.4221801757812
